#---
#profile: tabular-data-package
#name: shedding
#title: Temperature-specific shedding success of Schistosoma mansoni cercaria from
#  Biomphalaria glabrata snails
#author: K.H. Nguyen, P.H. Boersch-Supan, V.J. Harwood, J.R. Rohr
#path: https://github.com/pboesu/schistosomiasis
#fields:
#- name: temperature
#  type: number
#- name: variable
#  type: string
#- name: snail_id
#  type: string
#  levels:
#  - '1'
#  - '10'
#  - '101'
#  - '102'
#  - '103'
#  - '105'
#  - '107'
#  - '108'
#  - '109'
#  - '11'
#  - '110'
#  - '111'
#  - '112'
#  - '113'
#  - '114'
#  - '116'
#  - '117'
#  - '12'
#  - '120'
#  - '121'
#  - '122'
#  - '123'
#  - '125'
#  - '127'
#  - '13'
#  - '130'
#  - '131'
#  - '133'
#  - '134'
#  - '135'
#  - '136'
#  - '138'
#  - '14'
#  - '140'
#  - '142'
#  - '143'
#  - '145'
#  - '146'
#  - '147'
#  - '148'
#  - '150'
#  - '153'
#  - '154'
#  - '155'
#  - '158'
#  - '159'
#  - '16'
#  - '160'
#  - '161'
#  - '162'
#  - '166'
#  - '170'
#  - '173'
#  - '18'
#  - '20'
#  - '21'
#  - '25'
#  - '26'
#  - '28'
#  - '29'
#  - '3'
#  - '31'
#  - '32'
#  - '36'
#  - '38'
#  - '39'
#  - '4'
#  - '42'
#  - '43'
#  - '45'
#  - '47'
#  - '49'
#  - '5'
#  - '52'
#  - '53'
#  - '54'
#  - '55'
#  - '57'
#  - '6'
#  - '60'
#  - '62'
#  - '64'
#  - '65'
#  - '70'
#  - '71'
#  - '72'
#  - '73'
#  - '74'
#  - '75'
#  - '76'
#  - '77'
#  - '78'
#  - '79'
#  - '8'
#  - '80'
#  - '81'
#  - '84'
#  - '85'
#  - '88'
#  - '89'
#  - '9'
#  - '90'
#  - '92'
#  - '94'
#  - '97'
#  - '98'
#  - '99'
#- name: replicate_id
#  type: string
#- name: value
#  type: number
#- name: source
#  type: string
#--- 
temperature,variable,snail_id,replicate_id,value,source
17,cercariae_count_2h,43,Second,336,Nguyen2020
17,cercariae_count_2h,45,Second,516,Nguyen2020
17,cercariae_count_2h,49,Second,0,Nguyen2020
17,cercariae_count_2h,90,Second,212,Nguyen2020
17,cercariae_count_2h,111,Second,0,Nguyen2020
17,cercariae_count_2h,135,Second,0,Nguyen2020
17,cercariae_count_2h,138,Second,0,Nguyen2020
17,cercariae_count_2h,147,Second,172,Nguyen2020
17,cercariae_count_2h,160,Second,40,Nguyen2020
17,cercariae_count_2h,173,Second,484,Nguyen2020
17,cercariae_count_2h,173,Second,484,Nguyen2020
21,cercariae_count_2h,5,Second,596,Nguyen2020
21,cercariae_count_2h,25,Second,12,Nguyen2020
21,cercariae_count_2h,39,Second,0,Nguyen2020
21,cercariae_count_2h,60,Second,1232,Nguyen2020
21,cercariae_count_2h,75,Second,80,Nguyen2020
21,cercariae_count_2h,76,Second,0,Nguyen2020
21,cercariae_count_2h,84,Second,720,Nguyen2020
21,cercariae_count_2h,101,Second,884,Nguyen2020
21,cercariae_count_2h,133,Second,12,Nguyen2020
21,cercariae_count_2h,145,Second,136,Nguyen2020
21,cercariae_count_2h,154,Second,168,Nguyen2020
21,cercariae_count_2h,162,Second,376,Nguyen2020
25,cercariae_count_2h,1,Second,0,Nguyen2020
25,cercariae_count_2h,11,Second,1212,Nguyen2020
25,cercariae_count_2h,12,Second,0,Nguyen2020
25,cercariae_count_2h,20,Second,1656,Nguyen2020
25,cercariae_count_2h,52,Second,0,Nguyen2020
25,cercariae_count_2h,74,Second,0,Nguyen2020
25,cercariae_count_2h,80,Second,716,Nguyen2020
25,cercariae_count_2h,89,Second,1164,Nguyen2020
25,cercariae_count_2h,98,Second,412,Nguyen2020
25,cercariae_count_2h,108,Second,572,Nguyen2020
25,cercariae_count_2h,114,Second,0,Nguyen2020
25,cercariae_count_2h,125,Second,704,Nguyen2020
29,cercariae_count_2h,3,Second,4,Nguyen2020
29,cercariae_count_2h,8,Second,8,Nguyen2020
