#---
#profile: tabular-data-package
#name: hatch_24
#title: Temperature-specific hatching success of Schistosoma mansoni miracidia
#author: K.H. Nguyen, P.H. Boersch-Supan, V.J. Harwood, J.R. Rohr
#path: https://github.com/pboesu/schistosomiasis
#fields:
#- name: temperature
#  type: integer
#- name: variable
#  type: string
#- name: N_total
#  type: integer
#- name: N_hatched
#  type: integer
#- name: source
#  type: string
#--- 
temperature,variable,N_total,N_hatched,source
25,miracidial_hatching,4,2,Nguyen2020
25,miracidial_hatching,6,5,Nguyen2020
25,miracidial_hatching,45,24,Nguyen2020
25,miracidial_hatching,10,3,Nguyen2020
25,miracidial_hatching,7,2,Nguyen2020
25,miracidial_hatching,2,1,Nguyen2020
25,miracidial_hatching,5,2,Nguyen2020
25,miracidial_hatching,5,2,Nguyen2020
25,miracidial_hatching,2,1,Nguyen2020
25,miracidial_hatching,3,3,Nguyen2020
25,miracidial_hatching,20,9,Nguyen2020
25,miracidial_hatching,5,3,Nguyen2020
25,miracidial_hatching,14,6,Nguyen2020
25,miracidial_hatching,10,2,Nguyen2020
25,miracidial_hatching,8,3,Nguyen2020
25,miracidial_hatching,9,4,Nguyen2020
25,miracidial_hatching,12,6,Nguyen2020
25,miracidial_hatching,12,6,Nguyen2020
25,miracidial_hatching,11,4,Nguyen2020
25,miracidial_hatching,14,5,Nguyen2020
25,miracidial_hatching,8,1,Nguyen2020
29,miracidial_hatching,25,9,Nguyen2020
29,miracidial_hatching,22,6,Nguyen2020
29,miracidial_hatching,16,7,Nguyen2020
29,miracidial_hatching,10,5,Nguyen2020
29,miracidial_hatching,5,2,Nguyen2020
29,miracidial_hatching,13,6,Nguyen2020
29,miracidial_hatching,18,7,Nguyen2020
29,miracidial_hatching,20,8,Nguyen2020
29,miracidial_hatching,10,7,Nguyen2020
29,miracidial_hatching,12,3,Nguyen2020
29,miracidial_hatching,19,6,Nguyen2020
29,miracidial_hatching,10,3,Nguyen2020
29,miracidial_hatching,12,4,Nguyen2020
29,miracidial_hatching,19,3,Nguyen2020
29,miracidial_hatching,17,5,Nguyen2020
29,miracidial_hatching,16,3,Nguyen2020
29,miracidial_hatching,9,3,Nguyen2020
29,miracidial_hatching,11,5,Nguyen2020
29,miracidial_hatching,16,5,Nguyen2020
29,miracidial_hatching,18,6,Nguyen2020
29,miracidial_hatching,10,4,Nguyen2020
29,miracidial_hatching,6,2,Nguyen2020
29,miracidial_hatching,13,5,Nguyen2020
29,miracidial_hatching,11,2,Nguyen2020
33,miracidial_hatching,41,15,Nguyen2020
33,miracidial_hatching,23,9,Nguyen2020
33,miracidial_hatching,16,9,Nguyen2020
33,miracidial_hatching,17,12,Nguyen2020
33,miracidial_hatching,66,36,Nguyen2020
33,miracidial_hatching,44,21,Nguyen2020
33,miracidial_hatching,68,30,Nguyen2020
33,miracidial_hatching,60,25,Nguyen2020
33,miracidial_hatching,50,25,Nguyen2020
33,miracidial_hatching,29,15,Nguyen2020
33,miracidial_hatching,30,19,Nguyen2020
33,miracidial_hatching,45,20,Nguyen2020
33,miracidial_hatching,18,10,Nguyen2020
33,miracidial_hatching,28,18,Nguyen2020
33,miracidial_hatching,32,13,Nguyen2020
33,miracidial_hatching,39,23,Nguyen2020
33,miracidial_hatching,38,17,Nguyen2020
33,miracidial_hatching,55,28,Nguyen2020
33,miracidial_hatching,58,25,Nguyen2020
33,miracidial_hatching,45,23,Nguyen2020
33,miracidial_hatching,45,24,Nguyen2020
33,miracidial_hatching,31,17,Nguyen2020
33,miracidial_hatching,33,16,Nguyen2020
33,miracidial_hatching,35,18,Nguyen2020
37,miracidial_hatching,35,15,Nguyen2020
37,miracidial_hatching,12,5,Nguyen2020
37,miracidial_hatching,23,9,Nguyen2020
37,miracidial_hatching,11,4,Nguyen2020
37,miracidial_hatching,11,4,Nguyen2020
37,miracidial_hatching,28,13,Nguyen2020
37,miracidial_hatching,17,10,Nguyen2020
37,miracidial_hatching,25,15,Nguyen2020
37,miracidial_hatching,18,13,Nguyen2020
37,miracidial_hatching,20,6,Nguyen2020
37,miracidial_hatching,16,5,Nguyen2020
37,miracidial_hatching,14,5,Nguyen2020
37,miracidial_hatching,33,13,Nguyen2020
37,miracidial_hatching,10,5,Nguyen2020
37,miracidial_hatching,13,7,Nguyen2020
37,miracidial_hatching,20,9,Nguyen2020
37,miracidial_hatching,16,10,Nguyen2020
37,miracidial_hatching,8,5,Nguyen2020
37,miracidial_hatching,9,4,Nguyen2020
37,miracidial_hatching,16,6,Nguyen2020
37,miracidial_hatching,14,6,Nguyen2020
37,miracidial_hatching,9,5,Nguyen2020
37,miracidial_hatching,10,4,Nguyen2020
37,miracidial_hatching,34,12,Nguyen2020
